Ema_id;Ema_nimi;Vanus;Laste_arv
1;Imbi;21;1
2;Rapunzel;26;2
3;Katariina;30;1
4;Kristall;29;1
5;Kurr;28;1
6;Miili;28;1
7;Patsike;31;3
8;Lilleke;22;3
9;Margareth;32;2
10;Kiki;22;1
11;Katriin;28;2
12;Zipsik;29;1
13;Signeke;25;1
14;Eveke;26;2
15;Nadja;27;2
16;Moonika;24;1
17;Plikake;23;1
18;Kristlin;21;1
19;Zandra;20;1
20;Pisikeingel;24;1
21;Jessika;27;1
22;Kriste;28;3
23;Triinu;27;2
24;Kiisuke;20;1
25;Ade;34;2
26;Mormela;20;2
27;Krista;24;2
28;Carmen;30;2
29;Silja;22;1
30;Viivi;31;1
31;Liisa-Lota;26;1
32;Margariita;24;2
33;Annika;27;1
34;Piibe;28;2
35;Nella;28;2
36;Fly;24;2
37;Blanka;24;1
38;Roosi;29;2
39;Ave;29;3
40;Mari;25;1
41;Kirke;19;1
42;Marja;32;1
43;Tups;30;1
44;Kiisu;19;1
45;Merka;20;1
46;Pille;26;1
47;Maiki;26;1
48;Lilleke;27;2
49;Viki;30;2
50;Katrin;29;2
